,t,Sensor_1,Sensor_2,Sensor_3,Sensor_4
116,5.80E-05,0,1.92E-05,0.009332665,0.000369167
117,5.85E-05,0,0.000605375,-0.004484313,-0.001059985
118,5.90E-05,0,0.001086586,-0.025240961,-0.002069401
119,5.95E-05,0,0.000864498,-0.031782228,-0.002149234
120,6.00E-05,0,-0.000360557,-0.008893257,-0.001290635
121,6.05E-05,0,-0.00207334,0.029157955,0.000149241
122,6.10E-05,0,-0.002978462,0.046465103,0.001669222
123,6.15E-05,0,-0.001868129,0.021703092,0.002696128
124,6.20E-05,0,0.001170982,-0.025733996,0.002657311
125,6.25E-05,0,0.004314585,-0.051123008,0.001313258
126,6.30E-05,0,0.005073858,-0.028680187,-0.000837041
127,6.35E-05,0,0.002322283,0.020853868,-0.002665127
128,6.40E-05,0,-0.002438029,0.049517136,-0.003210584
129,6.45E-05,0,-0.005944961,0.030160604,-0.002427685
130,6.50E-05,0,-0.005702484,-0.016097931,-0.00099777
131,6.55E-05,0,-0.00199635,-0.042052276,0.000576226
132,6.60E-05,0,0.00246226,-0.023279937,0.002351426
133,6.65E-05,0,0.004898821,0.017665965,0.004159856
134,6.70E-05,0,0.004539196,0.036863219,0.004736993
135,6.75E-05,0,0.002521672,0.016135851,0.002419648
136,6.80E-05,0,0.000194989,-0.019437844,-0.002684422
137,6.85E-05,0,-0.002014966,-0.031386957,-0.007445874
138,6.90E-05,0,-0.003985013,-0.010163181,-0.007610308
139,6.95E-05,0,-0.004753932,0.017455328,-0.001883607
140,7.00E-05,0,-0.002902434,0.02171593,0.00581759
141,7.05E-05,0,0.001485297,0.003271269,0.009066959
142,7.10E-05,0,0.005670789,-0.011628078,0.004833763
143,7.15E-05,0,0.006013312,-0.005601028,-0.003147167
144,7.20E-05,0,0.00151989,0.009186568,-0.007523436
145,7.25E-05,0,-0.004480104,0.009014267,-0.00443155
146,7.30E-05,0,-0.006848743,-0.008748331,0.002591898
147,7.35E-05,0,-0.003356217,-0.020691544,0.006220714
148,7.40E-05,0,0.003030346,-0.007299288,0.002932962
149,7.45E-05,0,0.006761491,0.019861724,-0.003430448
150,7.50E-05,0,0.004775957,0.029282428,-0.005981622
151,7.55E-05,0,-0.000915753,0.007231648,-0.002241545
152,7.60E-05,0,-0.005468247,-0.023765346,0.003453914
153,7.65E-05,0,-0.005702725,-0.029495038,0.005083813
154,7.70E-05,0,-0.002358421,-0.003567836,0.001603877
155,7.75E-05,0,0.001589627,0.024894318,-0.002401971
156,7.80E-05,0,0.004018841,0.024556162,-0.002483256
157,7.85E-05,0,0.004710419,-0.002827944,0.00049259
158,7.90E-05,0,0.003951443,-0.02550666,0.001790573
159,7.95E-05,0,0.001339781,-0.018282175,-0.001006832
160,8.00E-05,0,-0.003185138,0.010073959,-0.00458006
161,8.05E-05,0,-0.007487266,0.028306618,-0.003505231
162,8.10E-05,0,-0.007739121,0.017590143,0.003033969
163,8.15E-05,0,-0.001994728,-0.009801527,0.009237749
164,8.20E-05,0,0.00661852,-0.026108859,0.008150172
165,8.25E-05,0,0.011284578,-0.017567018,-0.000917516
166,8.30E-05,0,0.00733699,0.004279181,-0.010883679
167,8.35E-05,0,-0.002746565,0.017921107,-0.013116276
168,8.40E-05,0,-0.010653847,0.013994119,-0.005287309
169,8.45E-05,0,-0.009488652,0.001193252,0.006639878
170,8.50E-05,0,-0.000360407,-0.006259734,0.013730543
171,8.55E-05,0,0.008302589,-0.003464142,0.011312918
172,8.60E-05,0,0.008525665,0.002665523,0.001833804
173,8.65E-05,0,0.000378308,0.003014071,-0.00801799
174,8.70E-05,0,-0.008016209,-0.003576206,-0.012321788
175,8.75E-05,0,-0.008224756,-0.009561882,-0.009094337
176,8.80E-05,0,0.000376332,-0.007063406,-0.000622727
177,8.85E-05,0,0.009886879,0.003520656,0.007967321
178,8.90E-05,0,0.011219923,0.01322641,0.011222315
179,8.95E-05,0,0.002503835,0.012957682,0.006692614
180,9.00E-05,0,-0.009225098,0.002460025,-0.002622176
181,9.05E-05,0,-0.014308174,-0.009207202,-0.009581557
182,9.10E-05,0,-0.008719962,-0.012321062,-0.008406946
183,9.15E-05,0,0.002986336,-0.005435937,-9.03E-05
184,9.20E-05,0,0.012006663,0.004247145,0.007932027
185,9.25E-05,0,0.012450052,0.008590363,0.008446657
186,9.30E-05,0,0.005197885,0.005772105,0.001275347
187,9.35E-05,0,-0.003946858,0.000213187,-0.006714104
188,9.40E-05,0,-0.009221997,-0.003093649,-0.008454739
189,9.45E-05,0,-0.008588196,-0.002829378,-0.003237026
190,9.50E-05,0,-0.003889603,-0.000622187,0.003573349
191,9.55E-05,0,0.001469472,0.001642662,0.006536706
192,9.60E-05,0,0.004885865,0.002624735,0.004890777
193,9.65E-05,0,0.005475244,0.001211428,0.001521842
194,9.70E-05,0,0.003732387,-0.002266524,-0.001236331
195,9.75E-05,0,0.000840784,-0.00447843,-0.003370742
196,9.80E-05,0,-0.00184902,-0.001244682,-0.005120142
197,9.85E-05,0,-0.0032296,0.006822414,-0.005004495
198,9.90E-05,0,-0.002857177,0.012090189,-0.001381423
199,9.95E-05,0,-0.001202306,0.006537088,0.004381778
200,1.00E-04,0,0.00057611,-0.008143317,0.007850331
201,0.0001005,0,0.001360391,-0.019211495,0.005655052
202,0.000101,0,0.000884229,-0.014479479,-0.000658386
203,0.0001015,0,-1.84E-05,0.00425214,-0.005777475
204,0.000102,0,-8.75E-05,0.021108774,-0.005811188
205,0.0001025,0,0.001130569,0.021008017,-0.001856267
206,0.000103,0,0.002538214,0.0044839,0.001773673
207,0.0001035,0,0.00217534,-0.013128762,0.002277324
208,0.000104,0,-0.0008771,-0.017167524,0.000707305
209,0.0001045,0,-0.005005193,-0.007317745,-0.000142403
210,0.000105,0,-0.00674527,0.00426034,0.00079614
211,0.0001055,0,-0.003631845,0.006950594,0.002067814
212,0.000106,0,0.00311577,0.002124735,0.001827049
213,0.0001065,0,0.008823965,-0.000600381,-0.000115268
214,0.000107,0,0.008880027,0.004039052,-0.002428811
215,0.0001075,0,0.00269607,0.010126368,-0.003677544
216,0.000108,0,-0.005493769,0.007278693,-0.003139663
217,0.0001085,0,-0.009903266,-0.006373433,-0.000786811
218,0.000109,0,-0.007717391,-0.01950323,0.002596341
219,0.0001095,0,-0.000982952,-0.017604722,0.005144512
220,0.00011,0,0.005461305,0.001482522,0.004720459
221,0.0001105,0,0.007815226,0.02280673,0.00094764
